CID,HA,Dipole,DonorType,SMILES,mlp_adsorption_energy,dft_adsorption_energy
116544143,20.0,0.859186528994723,amine_primary,CC1=CC(=CC=C1)CC(C2=CC=CC(=C2)CC(C)C)N,-1.1606325209140778,
55079024,18.0,0.8623583780436066,amine_primary,CCC1=CC=C(C=C1)C(C)(C2=CC=CC=C2F)N,-0.9611882865428925,
105394992,18.0,0.8670933250913652,amine_primary,C1C(C2=CC=CC=C21)C(C3=C(C=CC(=C3)F)Cl)N,-1.0240319222211838,
113888589,18.0,0.8758590663148952,amine_primary,CC1CCC(C(C1)(C2=C(C=C(C=C2F)C)C)N)C,-1.453957200050354,
62725302,15.0,0.8843195289096584,amine_primary,CCC(CC)(CC1=CC(=CC=C1)F)CN,-0.9068045318126678,
59779120,17.0,0.8852291269643131,amine_primary,C1C2C[C@@]2(CC1N)C3=CC=CC4=CC=CC=C43,-1.3356580436229706,
22379519,11.0,0.8935199789534647,amine_primary,CC1=C(C(=CC=C1)CCN)C,-1.1695774793624878,
104173668,16.0,0.8939596814672349,amine_primary,C1CC2CC1CC2C(C3=CC(=CC=C3)F)N,-1.2043017446994781,
13149668,11.0,0.8981964488957858,amine_primary,C/C=C/C(C1=CC=CC=C1)N,-1.1942612826824188,
108395492,19.0,0.9046265815257696,amine_primary,C1CC(C1)C2=CC=C(C=C2)C3=C(C=C(C=C3)CN)Cl,-1.2839367091655731,
21918899,9.0,0.9051259140815712,amine_primary,C=CCC1(CCCC1)N,-0.9706859588623047,
83827327,13.0,0.912610621166004,amine_primary,CC1=CC=CC2=C1C=C(CC2)CN,-1.0337356328964233,
114603430,20.0,0.9157491677424556,amine_primary,CC1(CCC(CC1)C(C2=CC=CC=C2C3CCC3)N)C,-1.295514166355133,
58952384,12.0,0.9210433842474522,amine_primary,C[C@H](C#CC1=CC=C(C=C1)Cl)N,-0.8682099133729935,
114977773,12.0,0.9263937367496607,amine_primary,CCCC(CCC)C(CC#C)N,-1.012531816959381,
64760581,19.0,0.929349616707297,amine_primary,CC1CCC(C(C1)(C2=CC=C(C=C2)C(C)(C)C)N)C,-1.462587058544159,
105547071,18.0,0.9333034305551438,amine_primary,CC(CC1=CC=C(C=C1)C2=C(C=C(C=C2)F)Cl)N,-1.2827201783657074,
106880613,17.0,0.9374036056987406,amine_primary,CC1CCCC(C1)(C2=C(C=C(C=C2F)C)C)N,-1.387691617012024,
77590326,12.0,0.9384571757864074,amine_primary,CC(C#CC1=CC(=CC=C1)F)N,-0.8385112509131432,
105394661,17.0,0.9406109568918491,amine_primary,CC1=CC=C(C=C1)C(C2=C(C=CC(=C2)F)Cl)N,-1.0967234298586845,
116926526,13.0,0.9521133143434136,amine_primary,CC1=CC=CC=C1CC2CC(C2)N,-1.2751265466213226,
114211633,17.0,0.9561099346194452,amine_primary,CC(C)(C)CCC(CC1=C(C=CC(=C1)F)Cl)N,-1.2000673785805702,
84777544,15.0,0.9604017072178704,amine_primary,CCC(CC)C1=CC=CC=C1C2(CC2)N,-1.0298007726669312,
64245133,17.0,0.9626783132677292,amine_primary,CCC1CCCC(C1)(CC2=CC=CC(=C2)C)N,-1.2239489555358887,
15316,16.0,0.96771243560626,amine_primary,C1C(C2=CC=CC=C2CC3=CC=CC=C31)N,-1.3321352899074554,
84095363,19.0,0.970292007754882,amine_primary,C1C2CC3CC1CC(C2)(C3)C4=CC=CC=C4CCN,-0.9588411152362823,
84781106,14.0,0.970755341979636,amine_primary,CC1=C(C(=CC(=C1)C2(CC2)CN)Cl)C,-1.1892134696245193,
114347068,18.0,0.9755790441281526,amine_primary,CC1=C(C=CC(=C1)F)CC(C)(C2=CC=CC=C2)N,-1.2374156713485718,
117327871,15.0,0.9765630546959064,amine_primary,CC1=C(C=C(C=C1Cl)C2(CCC2)CN)F,-0.9100489765405655,
58878083,11.0,0.9770316683659748,amine_primary,CCC1=CC=CC=C1[C@@H](C)N,-1.0846418142318726,
116661330,19.0,0.983355769177158,amine_primary,C1CCC(=CC1)CC(C2=CC3=CC=CC=C3C=C2)N,-1.1472271978855133,
113928643,17.0,0.987513166021598,amine_primary,CC1CCCC1C(CCCC2=CC=CC=C2)N,-1.184193640947342,
