query_name,query_cid,query_smiles,query_journal,rank,ref_cid,ref_smiles,ref_status,distance
dimethylphenethylsulfonium iodide (DMPESI),12587531,CS(C)(CCC1=CC=CC=C1)I,NATURE ENERGY,5,144878659,CN(CCCCC1=CC=CC=C1)SI,Success,0.000720
dimethylphenethylsulfonium iodide (DMPESI),12587531,CS(C)(CCC1=CC=CC=C1)I,NATURE ENERGY,6,115262460,CC1=CC(=CC=C1)CCN(C)CBr,Success,0.000733
dimethylphenethylsulfonium iodide (DMPESI),12587531,CS(C)(CCC1=CC=CC=C1)I,NATURE ENERGY,7,44814964,CC(CC1=CC=CC=C1)N(C)Br,Success,0.000738
dimethylphenethylsulfonium iodide (DMPESI),12587531,CS(C)(CCC1=CC=CC=C1)I,NATURE ENERGY,8,12240757,C1CCS(C1)(CC2=CC=CC=C2)Br,Success,0.000738
dimethylphenethylsulfonium iodide (DMPESI),12587531,CS(C)(CCC1=CC=CC=C1)I,NATURE ENERGY,9,115262329,CC1=CC=C(C=C1)CCN(C)CBr,Success,0.000743
dimethylphenethylsulfonium iodide (DMPESI),12587531,CS(C)(CCC1=CC=CC=C1)I,NATURE ENERGY,10,145794908,CC(CS(C)(C)I)C1=CC=CC=C1,Success,0.000754
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,1,175815456,C1=CC(=CN=C1)C[15NH2],Success,0.000000
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,2,31018,C1=CC(=CN=C1)CN,Success,0.000000
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,3,77317,C1=CN=CC=C1CN,Success,0.000860
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,4,66409066,C1=CC(=CN=C1)CN2C=CC(=C2)CN,Success,0.000873
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,5,54006116,C1=CN=CC=C1C=CCN,Success,0.000910
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,6,54457536,C1=CC(=CN=C1)C=CCN,Success,0.000980
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,7,66407760,C1=CN=CC=C1CN2C=CC(=C2)CN,Success,0.000982
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,8,144767456,C1=CN=CC=C1CNP,Success,0.001048
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,9,116939386,CNC(C1=CN=CC=C1)N,Success,0.001069
3-(aminomethyl)pyridine (3-APy),31018,C1=CC(=CN=C1)CN,NATURE,10,116939387,CNC(C1=CC=NC=C1)N,Success,0.001072
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,1,175992430,C1=CC=C2C(=C1)C3=CC=C[13CH]=C3N2,Success,0.000000
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,2,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,Success,0.000000
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,3,11019255,C1=CC=C2C(=C1)C3=CC=CC=C3[15NH]2,Success,0.000000
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,4,68719180,C1=CC=C2C(=C1)C=C3C=CC=C3N2,Success,0.000541
carbazole,6854,C1=CC=C2C(=C1)C3=CC=CC=C3N2,NATURE,5,15831592,C1=CC=C2C(=C1)C=C(N2)C3=CC=CC=C3C4=CC5=CC=CC=C5N4,Success,0.000602
